UIN,Incident_month,Incident_year,Victim_injury,State,Location,Latitude,Longitude,Site_category,Shark_common_name,Provoked_unprovoked,No_sharks,Victim_activity,Shark_behaviour,Victim_aware_of_shark,Injury_location,Injury_severity,Victim_gender,Time_of_incident,Depth_of_incident_m,Data_source,Reference,
1,1,1791,fatal,NSW,near sydney,-33.86666667,151.2,coastal,white shark,unprovoked,,swimming,,,torso,major lacerations,female,,0,book,"shark&survl, whitley 1958, book ref 1793",
2,3,1803,injured,WA,"hamelin bay, faure island",-25.83333333,113.8833333,coastal,tiger shark,unprovoked,1,swimming,swam at victim,Y,,,male,,0,book,"balgridge,green,taylor,whitley 1940",
3,1,1807,injured,NSW,"cockle bay, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on wrist,,"arm, hand",minor lacerations,male,,,media outlet,sydney gazette 18.1.1807,
4,1,1820,fatal,TAS,"sweetwater point, pitt water",-42.8,147.5333333,coastal,,provoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,,1,witness account,"shark&survl, c. black researcher",
5,1,1825,injured,NSW,"kirribili point, sydney harbour",-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,1,swimming,bit legs,,leg,minor lacerations,male,,,media outlet,maitland daily mercury 13.11.1899,
6,1,1830,injured,TAS,bruny island,-43.28333333,147.3333333,island open ocean,white shark,unprovoked,1,swimming,bit victim on arms,,arm,major lacerations,female,,,media outlet,the mercury 7.3.1923,
7,1,1832,injured,NSW,"blackwattle bay, glebe, sydney harbour",-33.86666667,151.1833333,estuary/harbour,bull shark,provoked,,swimming,bit victim on leg,,leg,minor lacerations,male,,,media outlet,smh 23.1.1832,
8,6,1832,injured,NSW,"south head, sydney harbour",-33.83333333,151.2666667,coastal,white shark,provoked,1,fishing,bit victim on leg,,leg,major lacerations,female,,,media outlet,sydney herald 11.6.1832,
9,1,1836,injured,SA,holdfast bay,-34.95,138.5,coastal,white shark,unprovoked,,swimming,,N,,,male,,,book,sharpe     date?,
10,8,1836,fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,whaler shark,unprovoked,1,swimming,bit victim on body,,other: body not recovered,,male,,,book,"shipwrecks, evan mchugh",
11,8,1836,fatal,QLD,fraser island,-25.48333333,152.9833333,coastal,whaler shark,unprovoked,1,swimming,bit victim on body,,other: body not recovered,,male,,,book,"shipwrecks, evan mchugh",
12,1,1837,fatal,NSW,macleay river,-30.93333333,153.0166667,river,bull shark,unprovoked,1,swimming,bit victim on leg,,leg,major lacerations,male,,1,media outlet,"green,baldridge, colonial times 14.2.1837",
13,8,1839,fatal,VIC,"sealer's cove, wilson's promontory",-38.98333333,146.45,coastal,white shark,provoked,1,swimming,bit legs,,leg,major lacerations,male,,0,media outlet,colonial times 20.8.1839,
14,12,1840,fatal,NSW,"wooloomooloo bay, sydney harbour",-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,1,swimming,,,leg,major lacerations,male,,,media outlet,cairns post 13.2.1919,
15,4,1841,fatal,NSW,"cockatoo island, sydney harbour",-33.83333333,151.1666667,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,major lacerations,male,,0,media outlet,the sydney herald 27.4.1841,
16,3,1847,injured,QLD,moreton bay,-27.25,153.25,coastal,bull shark,unprovoked,,swimming,,,foot,major lacerations,male,,,media outlet,"green, whitley 1958, the queenslander 12.3.1921",
17,11,1847,injured,QLD,brisbane river,-27.43333333,153.0833333,river,bull shark,unprovoked,1,swimming,bit victim onleg - thigh,Y,"thigh, calf",major lacerations,male,,0,media outlet,"morton bay courrier 4.12.1847, maitland mercury 15.12.1847",
18,1,1849,fatal,WA,"quindalup, busselton",-33.36666667,115.2833333,ocean/pelagic,white shark,provoked,1,swimming,,,,,male,,0,media outlet,bunbury herald 7.6.1849,
19,12,1849,injured,VIC,portland,-38.33333333,141.6,coastal,white shark,unprovoked,1,swimming,bit leg,,leg,other: teeth marks,male,,,media outlet,portland guardian 1.12.1874,
20,12,1849,fatal,NSW,"woolloomooloo bay, sydney harbour",-33.81666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on body,N,thigh,major lacerations,male,,,media outlet,smh 3.12.1849,
21,1,1850,fatal,QLD,moreton bay,-27.28333333,153.2166667,coastal,tiger shark,unprovoked,1,swimming,bit victim,,other: body not recovered,,male,,0,media outlet,the queenslander 6.2.1909,
22,3,1850,injured,NSW,"yamba, clarence head",-29.41666667,153.3333333,coastal,whaler shark,unprovoked,1,swimming,,,,,male,,,media outlet,clarence & richmond examiner 8.11.1881,
23,11,1853,injured,NSW,sydney harbour,-33.85,151.2166667,estuary/harbour,wobbegong,provoked,1,swimming,bit leg,,leg,minor lacerations,male,,,media outlet,empire 14.11.1853,
24,1,1855,injured,QLD,mary river,-25.5,152.7166667,river,bull shark,unprovoked,1,swimming,bit victims leg off,,leg,major lacerations,female,,,media outlet,capricornian 15.9.1923,
25,1,1855,uninjured,NSW,"woolloomooloo bay, sydney harbour",-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,1,swimming,swam towards victim,Y,other: uninjured,,male,,,media outlet,evening news 6.1.1915,
26,7,1855,fatal,QLD,hammond island,-10.56666667,142.2,island open ocean,tiger shark,unprovoked,1,swimming,bit victim on torso,,torso,major lacerations,male,,,media outlet,freemans journal 25.8.1855,
27,11,1855,fatal,NSW,"millers point, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim from below,,leg,major lacerations,male,,,media outlet,the maitland mercury 14.11.1855,
28,2,1856,injured,VIC,"port phillip bay, point henry",-38.13333333,144.4166667,coastal,white shark,unprovoked,1,swimming,bit victim on leg,,"thigh, foot",major lacerations,male,2100,0,media outlet,the argus 16.2.1856,
29,5,1856,injured,SA,"port elliot, horseshoe bay",-35.53333333,138.6833333,coastal,wobbegong,unprovoked,1,,,,,,male,,,media outlet,the register sa 24.5.1906,
30,3,1858,fatal,VIC,"hobson's bay, port phillip bay",-37.85,144.9,coastal,white shark,unprovoked,1,swimming,bit victim on leg,,calf,major lacerations,male,1500,0,media outlet,the argus 16.3.1858,
31,1,1860,injured,SA,encounter bay,-35.56666667,138.6,coastal,white shark,unprovoked,,swimming,,,arm,major lacerations,male,,,media outlet,south australian chronicle 15.12.1894,
32,1,1861,injured,QLD,"cleveland, moreton bay",-27.51666667,153.2666667,coastal,wobbegong,unprovoked,1,swimming,bit victim on hand,,"arm, hand",minor lacerations,male,,,media outlet,moreton bay courier 15.1.1861,
33,2,1862,injured,VIC,"huttons wharf, port phillip bay",-37.85,144.9,coastal,white shark,unprovoked,1,swimming,grazed leg with fin,Y,leg,abrasion,male,,0,media outlet,geelong advertiser 19.2.1862,
34,12,1862,fatal,QLD,"brisbane river, brisbane",-27.36666667,153.15,river,bull shark,unprovoked,1,swimming,bit victim on torso,Y,other: body not recovered,,male,,0,media outlet,the courier brisbane 19.12.1862,
35,1,1863,fatal,NSW,manning river,-31.88333333,151.4666667,river,bull shark,unprovoked,1,swimming,bit victim on right thigh,N,thigh,major lacerations,male,,0,media outlet,"green & whitley, sydney herald 21.1.1863",
36,1,1863,fatal,QLD,"moreton bay, victoria point",-27.58333333,153.3166667,coastal,tiger shark,provoked,1,swimming,bit victim on legs,,other: body not recovered,,male,,,media outlet,the queenslander 14.10.1916,
37,3,1863,injured,VIC,"brighton bay, melbourne",-37.9,144.9833333,coastal,white shark,unprovoked,1,swimming,bit victim on torso,,"torso, leg",major lacerations,male,2000,1,media outlet,argus 10.3.1863,
38,4,1863,fatal,QLD,caloundra heads,-26.8,153.1333333,coastal,tiger shark,unprovoked,2,,bit victim,,other: body not recovered,,male,,0,media outlet,brisbane courier 12.6.1880,
39,11,1865,fatal,VIC,"williamstown, phillip bay, melbourne",-37.86666667,144.8666667,coastal,white shark,unprovoked,,swimming,,,thigh,major lacerations,male,,,media outlet,argus 27.11.1865,
40,1,1868,injured,QLD,yeppoon,-23.08333333,150.7333333,coastal,tiger shark,unprovoked,1,swimming,bit victims leg off,,leg,major lacerations,male,,,media outlet,capricornian 1.12.1923,
41,1,1869,injured,QLD,"brisbane river, milton reach",-27.46666667,153,river,bull shark,unprovoked,1,swimming,bit leg,Y,leg,other: teeth marks,male,,,media outlet,darling downs gazette 23.1.1869,
42,3,1869,injured,SA,"cape elizabeth, port hughes",-34.13333333,137.45,coastal,broadnose sevengill shark,provoked,1,fishing,bit victim on foot,,foot,minor lacerations,male,,1,media outlet,smh 23.3.1869,
43,1,1870,injured,QLD,"brisbane river, north quay",-27.46666667,153.0166667,river,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,major lacerations,male,,0,media outlet,the brisbane courier 10.1.1870,
44,5,1870,injured,QLD,moreton island,-27.08333333,153.4,coastal,whaler shark,provoked,1,spearfishing,bit victim on leg,,leg,minor lacerations,male,,0,media outlet,the brisbane courier 26.5.1870,
45,1,1872,injured,QLD,"wide bay, near fraser island",-25.8,153.0166667,coastal,,unprovoked,1,swimming,bit victim,,,,male,,,media outlet,brisbane courier 9.1.1873,
46,2,1873,uninjured,SA,semaphore beach,-34.83333333,138.4666667,coastal,white shark,unprovoked,1,unmotorised boating,bit canoe,,other: uninjured,,male,,,media outlet,smh 17.2.1873,
47,1,1874,injured,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,,"calf, foot",major lacerations,male,,0,media outlet,"sharks & survival, the argus 14.1.1874",
48,11,1874,injured,QLD,"mary river, maryborough",-25.5,152.7166667,river,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,other: teeth marks,male,,,media outlet,maitland murcury 10.12.1874,
49,11,1874,injured,NSW,"redhead beach, newcastle",-33,151.7166667,coastal,wobbegong,provoked,1,swimming,bit victim on foot,,foot,minor lacerations,male,1900,,media outlet,maitland murcury 24.11.1874,
50,7,1875,injured,NSW,"yamba, clarence river",-29.41666667,153.3333333,river,tiger shark,unprovoked,1,swimming,bit victim,,,major lacerations,male,,0,media outlet,richmand river herald 9.12.1932,
51,10,1875,fatal,QLD,torres strait islands,-10.25,142.1166667,estuary/harbour,tiger shark,provoked,1,snorkelling,bit victim on leg,,leg,major lacerations,male,,,media outlet,brisbane courier 18.8.1877,
52,11,1875,injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,island open ocean,white shark,provoked,1,swimming,bit foot,,foot,major lacerations,male,,0,media outlet,brisbane courier 27.11.1875,
53,12,1875,injured,NSW,"yamba, clarence river, grafton",-29.4,153.3333333,river,bull shark,unprovoked,1,swimming,bit leg,,leg,minor lacerations,male,,0,media outlet,newcastle chronicle 8.1.1876,
54,1,1876,injured,WA,port walcott & de grey river,-20.7,117.25,river,bull shark,provoked,,snorkelling,bit victim on leg,N,thigh,major lacerations,male,,,media outlet,"green, whitely, the advertiser 11.1.1940",
55,1,1876,injured,VIC,st kilda beach,-37.86666667,144.9666667,coastal,white shark,unprovoked,1,swimming,,,,,male,,,media outlet,the argus 5.2.1876,
56,2,1876,fatal,QLD,torres strait islands,-10.25,142.1166667,coastal,tiger shark,provoked,1,snorkelling,bit victim in half,,torso,major lacerations,male,,,media outlet,brisbane courier 18.8.1877,
57,2,1876,fatal,VIC,albert park pier,-37.85,144.95,estuary/harbour,white shark,unprovoked,1,swimming,bit victim on leg,N,"leg, pelvic region",major lacerations,male,0600,,media outlet,the age 7.2.1876,
58,7,1876,uninjured,NSW,"dawse point battery, sydney harbour",-33.85,151.2,coastal,whaler shark,provoked,1,diving,circled diver,,other: uninjured,,male,,,media outlet,evening news 7.7.1876,
59,12,1876,injured,NSW,"paterson river, newcastle",-32.76666667,151.7,island open ocean,bull shark,unprovoked,1,swimming,bit victim on leg,,leg,major lacerations,male,,,media outlet,maitland mercury 11.8.1877,
60,1,1877,fatal,VIC,"emerald hill, melbourne",-37.83333333,144.9333333,coastal,white shark,unprovoked,1,swimming,,,,major lacerations,male,,,media outlet,the argus 1.2.1877,
61,1,1877,injured,VIC,port fairy,-38.38333333,142.4833333,coastal,white shark,unprovoked,1,swimming,bit victim on foot,Y,foot,minor lacerations,female,,0,media outlet,the argus 24.1.1877,
62,3,1877,injured,VIC,"port phillip bay, portarlington",-38.1,144.65,coastal,white shark,unprovoked,1,swimming,bit victim on leg,,"thigh, foot",major lacerations,male,,,media outlet,the argus 27.3.1877,
63,12,1877,injured,NSW,"balmain, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,,leg,major lacerations,male,,,media outlet,"green, shark&survul. smh 17.12.1877",
64,12,1877,injured,SA,st kilda beach,-34.73333333,138.0333333,coastal,,provoked,1,swimming,bit leg,,leg,minor lacerations,male,,,media outlet,northern argus 7.12.1877,
65,1,1878,injured,QLD,"torres strait, saibai island",-9.633333333,142.6833333,island open ocean,tiger shark,provoked,1,snorkelling,,,,major lacerations,male,,,media outlet,maitland mercury & hunter valley advertiser 26.3.1878,
66,3,1878,injured,VIC,hopkin's river,-38.38333333,142.5,river,whaler shark,unprovoked,1,swimming,bit victim on back,,torso,minor lacerations,male,,,media outlet,the argus 7.3.1878,
67,7,1878,injured,QLD,"inskip point, off frazer island",-25.8,153.05,coastal,bull shark,provoked,1,fishing,bit victim on leg,Y,calf,major lacerations,male,,1,media outlet,brisbane courier 26.7.1878,
68,11,1878,injured,NSW,"iron cove river, sydney harbour",-33.85,151.15,estuary/harbour,wobbegong,unprovoked,1,swimming,bit victim,,,minor lacerations,male,,,media outlet,south australian register 19.11.1878,
69,6,1879,fatal,NSW,"darling harbour, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit legs,,leg,major lacerations,male,,,media outlet,goulburn herald 23.6.1879,
70,11,1879,injured,NSW,"yamba, clarence river heads, lluka beach",-29.4,153.3333333,estuary/harbour,white shark,unprovoked,1,swimming,bit victim on leg,,thigh,major lacerations,male,,1,media outlet,maitland mercury & hunter river advertiser 20.11.1879,
71,1,1880,fatal,QLD,"cairns, fitzroy island",-16.9,145.9833333,island open ocean,tiger shark,unprovoked,1,swimming,bit victim in half,,other: body not recovered,,male,,0,media outlet,morning bulletin rockhamton 2.3.1922,
72,1,1880,injured,NSW,"lake macquarie, dora creek",-33.08333333,151.5,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,,foot,major lacerations,female,1700,1,media outlet,newcastle morning herald 5.1.1880,
73,1,1880,injured,QLD,"brisbane river, ipswich",-27.51666667,152.9,river,bull shark,unprovoked,1,swimming,bit leg,,leg,minor lacerations,male,,,media outlet,queensland times 13.1.1880,
74,11,1880,fatal,QLD,"brisbane river, kangaroo point",-27.46666667,153.0333333,river,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,1700,,witness account,"personal comm, the maitland mercury 11.12.1880",
75,1,1881,uninjured,NSW,"lake macquarie, pelican flat",-31.06666667,152.6333333,estuary/harbour,bull shark,unprovoked,1,swimming,swam towards victims,,other: uninjured,,female,,,media outlet,smh 20.1.1881,
76,1,1881,injured,QLD,"hervey bay, wide bay",-25.25,152.85,coastal,tiger shark,unprovoked,1,,bit victim on leg,,foot,major lacerations,female,,1,media outlet,the queenslander 13.12.1919,
77,8,1881,injured,QLD,great barrier reef (unknown location),-20,148.8,ocean/pelagic,tiger shark,provoked,1,spearfishing,bit leg,,leg,minor lacerations,male,,,media outlet,western champion 26.8.1881,
78,11,1881,fatal,NSW,"rushcutters bay, sydney harbour",-33.86666667,151.2333333,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim,,other: body not recovered,,male,,,media outlet,brisbane courier 15.11.1881,
79,12,1881,injured,QLD,"kolan river, bunbagerg",-24.83333333,152.1166667,river,bull shark,unprovoked,1,swimming,bit  victim on arm,,arm,major lacerations,male,,,media outlet,morning herald 6.12.1881,
80,1,1882,injured,WA,broome (area),-17.98333333,122.2333333,coastal,tiger shark,provoked,,snorkelling,,,,,male,,,media outlet,south australian register 3.3.1883,
81,4,1882,fatal,NSW,lake macquarie heads,-33.08333333,151.65,estuary/harbour,white shark,unprovoked,1,,bit victim on torso,,torso,,male,,,media outlet,smh 18.4.1882,
82,5,1882,injured,NSW,"miller's point, sydney harbour",-33.85,151.2,coastal,wobbegong,unprovoked,1,swimming,bit victim on leg,,calf,minor lacerations,male,,0,media outlet,the argus 16.5.1882,
83,5,1882,fatal,WA,broome area (nintey mile beach),-15.88333333,122,coastal,tiger shark,provoked,1,snorkelling,bit victim on torso,,torso,major lacerations,male,,,media outlet,the west australian 12.5.1882,
84,12,1882,fatal,WA,broome (area),-17.98333333,122.2333333,coastal,tiger shark,provoked,1,snorkelling,,,,,male,,,media outlet,south australian register 3.3.1883,
85,1,1883,fatal,NSW,"iron cove bay, sydney",-33.85,151.15,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on body,,torso,major lacerations,male,,,media outlet,smh 24.1.1883,
86,12,1883,fatal,NSW,"parramatta river, sydney",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on body,,torso,major lacerations,male,,0,media outlet,smh 21.12.1883,
87,12,1883,uninjured,NSW,"store beach, quarantine, manly",-33.8,151.2833333,estuary/harbour,bull shark,provoked,1,swimming,swam towards victim & horse ,Y,other: uninjured,,male,,1,media outlet,smh 24.12.1883,
88,1,1884,fatal,SA,port pirie,-33.18333333,137.9833333,coastal,white shark,unprovoked,2,swimming,sharks pulled victim underwater,,other: body not recovered,,female,,,media outlet,"shark&survl, sa register 9.3.1885, the advertiser 23.1.1936",
89,10,1885,uninjured,NSW,parramatta river,-33.81666667,151.05,river,bull shark,unprovoked,1,swimming,bit dress,,other: uninjured,,female,,0,media outlet,evening news 5.10.1885,
90,11,1885,injured,WA,bunbury,-33.31666667,115.6333333,coastal,white shark,unprovoked,1,swimming,bit victim on leg,,calf,major lacerations,male,,,media outlet,west australian 3.12.1885,
91,1,1886,uninjured,QLD,maryborough harbour,-25.53333333,152.7,estuary/harbour,bull shark,unprovoked,1,swimming,,,other: uninjured,,male,,,media outlet,brisbane courier 27.1.1886,
92,4,1886,injured,QLD,"fitzroy river, rotheway bay",-23.38333333,150.6333333,river,bull shark,unprovoked,1,swimming,bit victim on wrist,,"arm, hand",minor lacerations,male,,,media outlet,brisbane courier 4.5.1886,
93,2,1887,uninjured,NSW,"manly wharf, sydney",-33.8,151.2833333,estuary/harbour,whaler shark,unprovoked,,unmotorised boating,circled sunken boat,,other: uninjured,,male,1700,,media outlet,smh 24.2.1887,
94,12,1887,fatal,NSW,"ryde, sydney harbour",-33.81666667,151.0833333,river,bull shark,unprovoked,1,swimming,bit victim on body,,"torso, leg, pelvic region",major lacerations,male,1130,,media outlet,"green & whitley, smh 5.12.1887",
95,9,1888,injured,QLD,cooktown (gbr),-19.85,145.4,island open ocean,tiger shark,provoked,,snorkelling,,,,,male,,,government report,cairns hostipal register 11.9.1911,
96,12,1888,fatal,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on torso,,torso,major lacerations,male,,0,media outlet,"green, smh 10.12.1888",
97,7,1889,fatal,VIC,port phillip bay heads,-38.33333333,144.6166667,ocean/pelagic,white shark,unprovoked,1,swimming,bit victim,,other: body not recovered,,male,,0,media outlet,brisbane courier 9.7.1889,
98,1,1890,injured,TAS,"derwent, bridgewater",-42.73333333,147.2333333,river,broadnose sevengill shark,unprovoked,1,swimming,bit victim on leg,N,thigh,major lacerations,male,,,media outlet,"whitely, chris black researcher",
99,4,1891,uninjured,NSW,tathra wharf,-36.71666667,149.9833333,coastal,wobbegong,provoked,1,diving,bit lead shoe,,other: uninjured,,male,,,media outlet,richmond river herald 1.5.1891,
100,6,1891,injured,VIC,point danger of torquay,-38.33333333,144.3166667,coastal,wobbegong,provoked,1,snorkelling,swam towards diver,Y,arm,minor lacerations,male,,,media outlet,barnsdale advertiser 20.6.1891,
101,1,1892,fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,river,tiger shark,provoked,1,diving,bit victim on torso,Y,torso,major lacerations,male,,,book,"baldridge, shark&survl, whitley, aust woman's weekly 4.11.1944",
102,3,1892,injured,QLD,"rockhampton, fitzroy river",-23.36666667,150.5,river,bull shark,unprovoked,1,swimming,bit victim on leg,,calf,other: teeth marks,male,,,media outlet,brisbane courier 1.4.1892,
103,11,1892,injured,QLD,"moreton bay, wellington point",-27.45,153.2166667,coastal,whaler shark,unprovoked,1,swimming,bit victim on leg,,leg,other: teeth marks,female,,1,media outlet,brisbane courier 9.11.1892,
104,12,1892,injured,QLD,brisbane river,-27.43333333,153.0833333,island open ocean,bull shark,unprovoked,1,swimming,grazed leg,,leg,abrasion,male,,,media outlet,camperdown cronical 6.2.1894,
105,1,1893,uninjured,WA,geraldton,-28.76666667,114.6,coastal,wobbegong,provoked,1,fishing,bit trouser leg,,other: uninjured,,male,,1,media outlet,commercial news 7.1.1893,
106,1,1893,fatal,QLD,claremont isles national park,-13.93333333,143.7333333,ocean/pelagic,tiger shark,unprovoked,1,swimming,,,other: body not recovered,,male,,0,media outlet,morning bulletin 25.2.1893,
107,4,1893,injured,QLD,"torres strait, cap island",-9.816666667,142.7,island open ocean,tiger shark,unprovoked,1,swimming,bit victim on leg,,leg,minor lacerations,male,,0,media outlet,the brisbane courier 2.6.1893,
108,11,1894,injured,NSW,newcastle beach,-32.91666667,151.7833333,coastal,white shark,unprovoked,1,swimming,bit victim on arm,N,arm,major lacerations,male,0740,2,media outlet,miners advocate 1894.,
109,1,1895,uninjured,QLD,brisbane river,-27.46666667,153,river,bull shark,unprovoked,1,unmotorised boating,bit scull in 2 pieces,,other: uninjured,,male,,0,media outlet,smh 21.3.1930,
110,2,1895,fatal,NSW,"leichhardt, sydney harbour",-33.93333333,151.25,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg ,N,leg,major lacerations,male,1600,0,media outlet,"green, shark&survl, brisbane courier 28.2.1895",
111,3,1895,injured,QLD,"burnett river, sharon",-24.9,152.2333333,estuary/harbour,bull shark,unprovoked,1,swimming,bit foot,,foot,major lacerations,male,,,media outlet,queensland times 21.3.1895,
112,6,1895,fatal,WA,barrow island,-20.78333333,115.5333333,island open ocean,tiger shark,provoked,4,diving,bit victim multiple times,,other: body not recovered,,male,,,media outlet,the mercury 15.6.1895,
113,11,1895,fatal,NSW,"jervis bay, cape st george lighthouse",-35.13333333,150.75,coastal,whaler shark,provoked,3,swimming,bit victim on legs,Y,other: body not recovered,,male,,,media outlet,the brisbane courier 18.11.1895,
114,12,1895,uninjured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,provoked,1,diving,bite to shoulder - dry suit,,other: uninjured,,male,,,media outlet,northern territory & gazette 17.1.1896,
115,12,1895,fatal,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on body,,torso,major lacerations,male,,0,media outlet,smh 9.12.1895,
116,1,1896,fatal,NSW,"pyrmont baths, sydney",-33.86666667,151.1833333,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on body,,torso,major lacerations,male,,0,media outlet,the west australian 14.1.1896,
117,11,1896,fatal,WA,esperance,-33.85,121.8833333,coastal,white shark,unprovoked,1,swimming,bit victim on legs,,leg,,male,,,media outlet,kalgoorlie western argus 5.11.1896,
118,1,1897,injured,NSW,"macleay river, kempsey",-31.06666667,152.8333333,river,bull shark,unprovoked,1,swimming,bit thigh,,thigh,minor lacerations,male,,,media outlet,northern star 13.1.1897,
119,12,1897,injured,QLD,"torres strait, mabuiag island ",-9.95,142.1833333,island open ocean,tiger shark,unprovoked,1,swimming,,,torso,major lacerations,male,,,media outlet,newcastle morning herald 29.12.1897,
120,9,1898,injured,NSW,"port stephens, nelson's bay",-32.71666667,152.1166667,estuary/harbour,bull shark,provoked,1,fishing,bit foot,,foot,minor lacerations,male,,1,media outlet,evening news 27.12.1898,
121,12,1898,injured,QLD,"moreton bay, wellington point",-27.46666667,153.2166667,coastal,whaler shark,provoked,1,fishing,bit thigh,Y,thigh,minor lacerations,male,,1,media outlet,evening news 27.12.1898,
122,2,1899,injured,NSW,"sugar loaf bay, sydney harbour",-33.78333333,151.2166667,estuary/harbour,bull shark,unprovoked,1,swimming,bit thigh,,thigh,minor lacerations,male,,,media outlet,albury banner & wodonga express 10.2.1899,
123,12,1899,injured,QLD,"moreton bay, tingalpa creek, near wynnum",-27.55,153.1833333,estuary/harbour,bull shark,unprovoked,1,swimming,bit leg,,leg,minor lacerations,male,,,media outlet,brisbane courier 21.12.1899,
124,1,1900,injured,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,major lacerations,male,1200,1,media outlet,smh 29.1.1900,
125,1,1900,injured,NT,melville island,-11.6,130.95,coastal,tiger shark,unprovoked,,swimming,bit arm,,arm,major lacerations,male,,,media outlet,northern standard 31.3.1933,
126,9,1900,injured,QLD,townsville harbour,-19.25,146.8166667,estuary/harbour,tiger shark,unprovoked,1,swimming,bit victim on leg,,calf,major lacerations,male,2100,,media outlet,brisbane courier 17.9.1900,
127,11,1900,fatal,QLD,torres strait (unknown location),-10.55,142.3833333,island open ocean,,provoked,,snorkelling,,,,,male,,,media outlet,brisbane courier 14.9.1901,
128,12,1900,fatal,NSW,"middle harbour, folly point, sydney harbour",-33.78333333,151.2333333,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,,,media outlet,smh 29.12.1900,
129,1,1901,injured,NT,melville island,-11.6,130.95,coastal,tiger shark,unprovoked,,swimming,bit victim on leg,,leg,major lacerations,male,,,media outlet,northern standard 31.3.1933,
